Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
2011,12,3.333,2.829,2.494,1.254,1.258,0.023,-0.938,0.945,3.767,2.471,0.335,0.961,0.430,6.620,-1.949,0
2012,1,3.491,2.944,2.648,1.430,1.449,0.250,-0.677,1.134,3.621,2.397,0.297,0.927,0.440,6.590,-1.464,0
2012,2,3.258,2.798,2.600,1.358,1.375,0.150,-0.664,1.067,3.462,2.450,0.198,0.814,0.480,6.660,-1.121,0
2012,3,3.327,2.833,2.673,1.486,1.490,0.307,-0.399,1.217,3.232,2.366,0.160,0.706,0.460,6.720,-0.979,0
2012,4,3.235,2.911,2.672,1.461,1.457,0.243,-0.491,1.210,3.402,2.429,0.239,0.734,0.430,6.730,-1.277,0
2012,5,3.038,2.840,2.553,1.317,1.312,0.072,-0.756,1.042,3.596,2.481,0.287,0.828,0.480,6.690,-1.782,0
2012,6,3.178,2.900,2.617,1.359,1.367,0.118,-0.852,1.024,3.752,2.499,0.283,0.970,0.510,6.660,-1.839,0
2012,7,3.117,2.859,2.632,1.355,1.371,0.111,-0.851,1.004,3.710,2.521,0.227,0.962,0.470,6.610,-1.667,0
2012,8,3.108,2.801,2.627,1.366,1.369,0.110,-0.660,1.071,3.461,2.517,0.174,0.770,0.440,6.630,-1.470,0
2012,9,3.061,2.715,2.564,1.323,1.317,0.069,-0.498,1.108,3.213,2.495,0.151,0.567,0.390,6.660,-0.974,0
2012,10,3.256,2.818,2.623,1.387,1.385,0.148,-0.553,1.132,3.371,2.475,0.195,0.701,0.370,6.660,-1.442,0
2012,11,3.561,3.055,2.735,1.505,1.512,0.288,-0.626,1.214,3.681,2.447,0.320,0.914,0.420,6.660,-1.764,0
2012,12,3.803,3.227,2.857,1.609,1.624,0.391,-0.603,1.312,3.831,2.466,0.371,0.994,0.450,6.680,-1.710,0
2013,1,3.149,2.903,2.595,1.345,1.353,0.111,-0.781,1.061,3.683,2.485,0.308,0.891,0.420,6.590,-1.789,0
2013,2,2.939,2.725,2.506,1.275,1.281,0.056,-0.684,1.021,3.409,2.451,0.219,0.739,0.440,6.650,-1.454,0
2013,3,2.949,2.721,2.555,1.312,1.306,0.057,-0.575,1.073,3.296,2.497,0.166,0.633,0.320,6.570,-1.160,0
2013,4,3.118,2.743,2.532,1.292,1.286,0.039,-0.709,1.017,3.452,2.493,0.211,0.748,0.350,6.620,-1.588,0
2013,5,3.189,2.842,2.536,1.295,1.288,0.041,-0.799,1.021,3.641,2.495,0.306,0.840,0.380,6.600,-1.706,0
2013,6,3.253,2.911,2.595,1.343,1.345,0.094,-0.777,1.067,3.688,2.501,0.316,0.871,0.410,6.610,-1.683,0
2013,7,3.174,2.850,2.585,1.335,1.341,0.097,-0.771,1.039,3.621,2.488,0.265,0.868,0.490,6.590,-1.669,0
