Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1911,8,5.852,5.596,5.374,4.206,4.218,3.066,2.103,3.849,3.493,2.307,0.223,0.963,0.590,6.720,1.341,0
1911,9,5.822,5.584,5.386,4.231,4.240,3.094,2.252,3.918,3.332,2.292,0.198,0.841,0.510,6.750,1.798,0
1911,10,6.035,5.681,5.422,4.279,4.279,3.136,2.268,3.974,3.413,2.286,0.259,0.869,0.480,6.810,1.798,0
1911,11,6.126,5.791,5.419,4.255,4.261,3.103,2.079,3.935,3.712,2.316,0.372,1.024,0.440,6.780,1.280,0
1911,12,6.035,5.819,5.444,4.255,4.276,3.109,1.893,3.856,3.926,2.335,0.375,1.216,0.520,6.760,0.975,0
1912,1,6.309,5.916,5.587,4.392,4.429,3.271,2.103,4.010,3.813,2.316,0.329,1.167,0.610,6.760,0.914,0
1912,2,6.066,5.675,5.428,4.261,4.289,3.149,2.176,3.925,3.499,2.280,0.247,0.972,0.600,6.780,1.128,0
1912,3,6.005,5.624,5.392,4.243,4.252,3.112,2.289,3.957,3.335,2.280,0.232,0.823,0.530,6.830,1.524,0
1912,4,6.096,5.605,5.352,4.212,4.221,3.088,2.271,3.938,3.334,2.265,0.253,0.817,0.510,6.880,1.524,0
1912,5,5.974,5.694,5.374,4.218,4.231,3.088,2.149,3.921,3.545,2.286,0.320,0.939,0.550,6.830,1.219,0
1912,6,6.035,5.739,5.386,4.221,4.261,3.136,2.060,3.899,3.679,2.249,0.354,1.076,0.540,6.780,0.914,0
1912,7,6.066,5.718,5.395,4.225,4.255,3.115,2.067,3.893,3.651,2.280,0.323,1.049,0.610,6.750,0.914,0
1912,8,5.974,5.611,5.374,4.203,4.231,3.085,2.155,3.883,3.456,2.289,0.238,0.930,0.630,6.780,1.128,0
1912,9,5.852,5.538,5.355,4.206,4.212,3.072,2.262,3.900,3.276,2.283,0.183,0.811,0.600,6.830,1.585,0
1912,10,5.852,5.630,5.398,4.249,4.255,3.115,2.262,3.946,3.368,2.283,0.232,0.853,0.600,6.910,1.646,0
1912,11,6.126,5.858,5.520,4.359,4.368,3.219,2.207,4.032,3.651,2.301,0.338,1.012,0.600,6.910,1.128,0
1912,12,6.523,5.770,5.447,4.267,4.289,3.130,1.920,3.845,3.850,2.316,0.323,1.210,0.610,6.850,0.914,0
1913,1,6.126,5.831,5.535,4.340,4.371,3.203,2.039,3.935,3.792,2.332,0.296,1.164,0.630,6.770,1.067,0
1913,2,5.944,5.654,5.377,4.212,4.234,3.088,2.085,3.869,3.569,2.289,0.277,1.003,0.650,6.810,1.280,0
1913,3,5.974,5.605,5.358,4.209,4.212,3.066,2.207,3.906,3.398,2.292,0.247,0.860,0.620,6.870,1.676,0
1913,4,6.096,5.691,5.413,4.264,4.270,3.130,2.274,3.982,3.417,2.283,0.277,0.856,0.520,6.840,1.372,0
1913,5,5.852,5.694,5.334,4.188,4.197,3.057,2.045,3.869,3.649,2.277,0.360,1.012,0.590,6.860,1.280,0
1913,6,5.944,5.782,5.410,4.267,4.285,3.161,2.076,3.929,3.706,2.249,0.372,1.085,0.640,6.800,1.250,0
1913,7,5.974,5.694,5.386,4.225,4.255,3.121,2.063,3.878,3.631,2.265,0.308,1.058,0.530,6.730,1.128,0
1913,8,5.974,5.636,5.401,4.237,4.258,3.118,2.222,3.929,3.414,2.283,0.235,0.896,0.480,6.710,1.311,0
1913,9,6.157,5.560,5.386,4.225,4.228,3.072,2.313,3.937,3.247,2.313,0.174,0.759,0.420,6.730,1.737,0
1913,10,5.913,5.511,5.310,4.154,4.157,3.005,2.201,3.856,3.310,2.304,0.201,0.805,0.410,6.750,1.341,0
1913,11,6.462,5.849,5.526,4.374,4.392,3.258,2.237,4.043,3.612,2.268,0.323,1.021,0.510,6.800,1.402,0
1913,12,6.370,5.864,5.514,4.349,4.374,3.234,2.060,3.962,3.804,2.280,0.351,1.173,0.560,6.810,1.402,0
1914,1,6.645,6.163,5.822,4.642,4.682,3.542,2.377,4.270,3.786,2.280,0.341,1.164,0.630,6.800,1.646,0
1914,2,6.066,5.712,5.477,4.322,4.346,3.213,2.222,3.967,3.490,2.265,0.235,0.991,0.630,6.770,1.433,0
1914,3,6.096,5.636,5.416,4.279,4.289,3.161,2.347,3.992,3.289,2.256,0.219,0.814,0.580,6.850,1.737,0
1914,4,6.096,5.733,5.447,4.313,4.319,3.191,2.353,4.043,3.380,2.256,0.287,0.838,0.580,6.900,1.554,0
1914,5,6.005,5.755,5.419,4.267,4.279,3.139,2.161,3.958,3.594,2.280,0.335,0.978,0.560,6.820,1.097,0
1914,6,5.974,5.755,5.419,4.261,4.273,3.130,2.033,3.894,3.722,2.289,0.335,1.097,0.620,6.800,1.128,0
1914,7,5.944,5.700,5.413,4.231,4.252,3.091,2.015,3.857,3.685,2.323,0.287,1.076,0.590,6.720,1.189,0
1914,8,5.913,5.608,5.398,4.225,4.243,3.088,2.152,3.880,3.456,2.310,0.210,0.936,0.560,6.720,1.433,0
