Year,CO2_ppm,Source
-689722,236.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-689482,235.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-689049,234,"EPICA Dome C and  Vostok Station,  Antarctica"
-688821,240,"EPICA Dome C and  Vostok Station,  Antarctica"
-688344,234.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-688107,235.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-687653,239.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-687354,235.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-686931,234.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-686702,235.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-686245,233,"EPICA Dome C and  Vostok Station,  Antarctica"
-685999,232.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-685520,228.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-685277,228.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-684776,227.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-684475,224.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-684030,224.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-683766,223.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-683267,219.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-682999,219.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-682469,219.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-682192,217.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-681662,217.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-681312,218.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-680812,221.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-680496,222.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-679899,219.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-679581,217.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-678970,216.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-678658,218.4,"EPICA Dome C and  Vostok Station,  Antarctica"
