#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-11-11 13:13:13 EST      (vaww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 12150800 SNOHOMISH RIVER NEAR MONROE, WA
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		149182	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	12150800	00060	149182	1987	5	12230
USGS	12150800	00060	149182	1987	6	6779
USGS	12150800	00060	149182	1987	7	2683
USGS	12150800	00060	149182	1987	8	1413
USGS	12150800	00060	149182	1987	9	1133
USGS	12150800	00060	149182	1987	10	894.2
USGS	12150800	00060	149182	1987	11	2624
USGS	12150800	00060	149182	1987	12	8097
USGS	12150800	00060	149182	1988	1	5526
USGS	12150800	00060	149182	1988	2	8842
USGS	12150800	00060	149182	1988	3	10820
USGS	12150800	00060	149182	1988	4	15970
USGS	12150800	00060	149182	1988	5	14330
USGS	12150800	00060	149182	1988	6	10740
USGS	12150800	00060	149182	1988	7	5694
USGS	12150800	00060	149182	1988	8	1923
USGS	12150800	00060	149182	1988	9	2836
USGS	12150800	00060	149182	1988	10	9104
USGS	12150800	00060	149182	1988	11	15200
USGS	12150800	00060	149182	1988	12	11750
USGS	12150800	00060	149182	1989	1	13210
USGS	12150800	00060	149182	1989	2	5898
USGS	12150800	00060	149182	1989	3	8561
USGS	12150800	00060	149182	1989	4	16050
USGS	12150800	00060	149182	1989	5	12170
USGS	12150800	00060	149182	1989	6	11160
USGS	12150800	00060	149182	1989	7	4903
USGS	12150800	00060	149182	1989	8	2662
USGS	12150800	00060	149182	1989	9	1636
USGS	12150800	00060	149182	1989	10	3401
USGS	12150800	00060	149182	1989	11	19400
USGS	12150800	00060	149182	1989	12	14970
USGS	12150800	00060	149182	1990	1	16430
USGS	12150800	00060	149182	1990	2	12980
USGS	12150800	00060	149182	1990	3	10080
USGS	12150800	00060	149182	1990	4	14300
USGS	12150800	00060	149182	1990	5	11630
USGS	12150800	00060	149182	1990	6	16040
USGS	12150800	00060	149182	1990	7	6290
USGS	12150800	00060	149182	1990	8	2535
USGS	12150800	00060	149182	1990	9	2222
USGS	12150800	00060	149182	1990	10	11910
USGS	12150800	00060	149182	1990	11	34800
USGS	12150800	00060	149182	1990	12	13960
USGS	12150800	00060	149182	1991	1	13740
USGS	12150800	00060	149182	1991	2	20500
USGS	12150800	00060	149182	1991	3	8612
USGS	12150800	00060	149182	1991	4	12520
USGS	12150800	00060	149182	1991	5	10460
USGS	12150800	00060	149182	1991	6	10860
USGS	12150800	00060	149182	1991	7	7115
USGS	12150800	00060	149182	1991	8	2708
USGS	12150800	00060	149182	1991	9	2104
USGS	12150800	00060	149182	1991	10	1757
USGS	12150800	00060	149182	1991	11	11790
USGS	12150800	00060	149182	1991	12	12980
USGS	12150800	00060	149182	1992	1	12700
USGS	12150800	00060	149182	1992	2	10760
USGS	12150800	00060	149182	1992	3	6203
USGS	12150800	00060	149182	1992	4	7513
USGS	12150800	00060	149182	1992	5	7743
USGS	12150800	00060	149182	1992	6	4070
USGS	12150800	00060	149182	1992	7	2945
USGS	12150800	00060	149182	1992	8	1672
USGS	12150800	00060	149182	1992	9	3959
USGS	12150800	00060	149182	1992	10	3444
USGS	12150800	00060	149182	1992	11	9671
USGS	12150800	00060	149182	1992	12	7573
USGS	12150800	00060	149182	1993	1	8190
USGS	12150800	00060	149182	1993	2	5171
USGS	12150800	00060	149182	1993	3	9285
USGS	12150800	00060	149182	1993	4	10920
USGS	12150800	00060	149182	1993	5	16790
USGS	12150800	00060	149182	1993	6	9627
USGS	12150800	00060	149182	1993	7	5374
USGS	12150800	00060	149182	1993	8	3073
USGS	12150800	00060	149182	1993	9	2013
USGS	12150800	00060	149182	1993	10	2353
USGS	12150800	00060	149182	1993	11	3682
USGS	12150800	00060	149182	1993	12	9556
USGS	12150800	00060	149182	1994	1	10570
USGS	12150800	00060	149182	1994	2	5585
USGS	12150800	00060	149182	1994	3	11130
USGS	12150800	00060	149182	1994	4	10810
USGS	12150800	00060	149182	1994	5	9189
USGS	12150800	00060	149182	1994	6	8193
USGS	12150800	00060	149182	1994	7	4129
USGS	12150800	00060	149182	1994	8	1743
USGS	12150800	00060	149182	1994	9	2797
USGS	12150800	00060	149182	1994	10	5373
USGS	12150800	00060	149182	1994	11	9428
USGS	12150800	00060	149182	1994	12	16810
USGS	12150800	00060	149182	1995	1	9305
USGS	12150800	00060	149182	1995	2	19560
USGS	12150800	00060	149182	1995	3	9738
USGS	12150800	00060	149182	1995	4	7345
USGS	12150800	00060	149182	1995	5	10300
USGS	12150800	00060	149182	1995	6	7212
USGS	12150800	00060	149182	1995	7	3878
USGS	12150800	00060	149182	1995	8	3482
USGS	12150800	00060	149182	1995	9	1947
USGS	12150800	00060	149182	1995	10	13340
USGS	12150800	00060	149182	1995	11	30840
USGS	12150800	00060	149182	1995	12	18240
USGS	12150800	00060	149182	1996	1	17790
USGS	12150800	00060	149182	1996	2	21810
USGS	12150800	00060	149182	1996	3	7225
USGS	12150800	00060	149182	1996	4	11780
USGS	12150800	00060	149182	1996	5	11480
USGS	12150800	00060	149182	1996	6	7897
USGS	12150800	00060	149182	1996	7	4295
USGS	12150800	00060	149182	1996	8	2860
USGS	12150800	00060	149182	1996	9	3327
USGS	12150800	00060	149182	1996	10	10200
USGS	12150800	00060	149182	1996	11	13940
USGS	12150800	00060	149182	1996	12	11490
USGS	12150800	00060	149182	1997	1	20190
USGS	12150800	00060	149182	1997	2	13780
USGS	12150800	00060	149182	1997	3	17340
USGS	12150800	00060	149182	1997	4	13790
USGS	12150800	00060	149182	1997	5	19920
USGS	12150800	00060	149182	1997	6	17700
USGS	12150800	00060	149182	1997	7	12280
