agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va
USGS,12186000,00060,149376,1945,3,570.6
USGS,12186000,00060,149376,1945,4,620.3
USGS,12186000,00060,149376,1945,5,2191
USGS,12186000,00060,149376,1945,6,1778
USGS,12186000,00060,149376,1945,7,983.7
USGS,12186000,00060,149376,1945,8,342.7
USGS,12186000,00060,149376,1945,9,479.6
USGS,12186000,00060,149376,1945,10,901.3
USGS,12186000,00060,149376,1945,11,1067
USGS,12186000,00060,149376,1945,12,832
USGS,12186000,00060,149376,1946,1,792.3
USGS,12186000,00060,149376,1946,2,592.5
USGS,12186000,00060,149376,1946,3,706.9
USGS,12186000,00060,149376,1946,4,1203
USGS,12186000,00060,149376,1946,5,2926
USGS,12186000,00060,149376,1946,6,2677
USGS,12186000,00060,149376,1946,7,1839
USGS,12186000,00060,149376,1946,8,643.6
USGS,12186000,00060,149376,1946,9,308
USGS,12186000,00060,149376,1946,10,727.8
USGS,12186000,00060,149376,1946,11,694.9
USGS,12186000,00060,149376,1946,12,1469
USGS,12186000,00060,149376,1947,1,986.1
USGS,12186000,00060,149376,1947,2,1210
USGS,12186000,00060,149376,1947,3,936.8
USGS,12186000,00060,149376,1947,4,1483
USGS,12186000,00060,149376,1947,5,2402
USGS,12186000,00060,149376,1947,6,2010
USGS,12186000,00060,149376,1947,7,1154
USGS,12186000,00060,149376,1947,8,458.6
USGS,12186000,00060,149376,1947,9,375.7
USGS,12186000,00060,149376,1947,10,1594
USGS,12186000,00060,149376,1947,11,1436
USGS,12186000,00060,149376,1947,12,1146
USGS,12186000,00060,149376,1948,1,710.6
USGS,12186000,00060,149376,1948,2,587.8
USGS,12186000,00060,149376,1948,3,499.1
USGS,12186000,00060,149376,1948,4,970
USGS,12186000,00060,149376,1948,5,2604
USGS,12186000,00060,149376,1948,6,3531
USGS,12186000,00060,149376,1948,7,1267
USGS,12186000,00060,149376,1948,8,687.2
USGS,12186000,00060,149376,1948,9,663.4
USGS,12186000,00060,149376,1948,10,823.5
USGS,12186000,00060,149376,1948,11,812.6
USGS,12186000,00060,149376,1948,12,624
USGS,12186000,00060,149376,1949,1,313.8
USGS,12186000,00060,149376,1949,2,684.3
USGS,12186000,00060,149376,1949,3,899.3
USGS,12186000,00060,149376,1949,4,1258
USGS,12186000,00060,149376,1949,5,2965
USGS,12186000,00060,149376,1949,6,2294
USGS,12186000,00060,149376,1949,7,1693
USGS,12186000,00060,149376,1949,8,774.2
USGS,12186000,00060,149376,1949,9,652.1
USGS,12186000,00060,149376,1949,10,1065
USGS,12186000,00060,149376,1949,11,2360
USGS,12186000,00060,149376,1949,12,1466
USGS,12186000,00060,149376,1950,1,1019
